Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
United States,USA,Population density (people per sq. km of land area),EN.POP.DNST,31.10362839,31.39354993,31.66453462,31.95894507,32.2548766,32.56739985,32.87861136,33.24368685,33.53639923,33.81578008,34.06244395,34.31324483,34.55181319,34.8061343,35.06332868,35.31834714,35.54249482,35.73009646,35.89317567,36.24098511,36.29783633
United States,USA,Rural population,SP.RUR.TOTL,59176653,59224903,59231337,59272576,59316092,59380586,59435929,59486862,59495270,59477423,59375348,59263241,59106371,58955597,58788250,58598755,58333412,57994170,57592357,57470836,56867044
United States,USA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,79.234,79.409,79.583,79.757,79.928,80.099,80.269,80.438,80.606,80.772,80.944,81.119,81.299,81.483,81.671,81.862,82.058,82.256,82.459,82.664,82.873
United States,USA,Urban population growth (annual %),SP.URB.GROW,1.213380422,1.148418847,1.078360384,1.143885301,1.135884591,1.17796816,1.163067761,1.156185671,1.085290294,1.035344801,0.939505411,0.949565508,0.914510414,0.959430782,0.966674782,0.958268061,0.87178526,0.76743743,0.701867775,1.212647657,0.409258906
United States,USA,Rural population growth (annual %),SP.RUR.TOTL.ZG,0.140997827,0.081502312,0.010863083,0.069599392,0.073389815,0.10867028,0.09315709,0.085657262,0.014133215,-0.030001843,-0.171767178,-0.188989155,-0.26505129,-0.25541516,-0.284256234,-0.322855438,-0.45384168,-0.583254557,-0.695262033,-0.211224879,-1.056163736
United States,USA,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,7.913351271,7.846901595,7.78646312,7.721461406,7.657550879,7.591005926,7.526160209,7.462413684,7.404392186,7.350523347,7.304043205,7.257157284,7.213039526,7.166000673,7.118752829,7.072440665,7.032509201,7.000103766,6.94573723,6.861591598,6.84047881
United Kingdom,GBR,Population density (people per sq. km of land area),EN.POP.DNST,244.366854,245.4035423,246.5489067,247.9556277,249.6639772,251.5058901,253.4719258,255.4747034,257.4144174,259.4401893,261.4756748,263.3001901,265.0695366,267.0288844,269.1531393,271.2007316,273.049473,274.7089819,276.2630802,277.2753854,277.0483198
United Kingdom,GBR,Rural population,SP.RUR.TOTL,12562339,12439896,12323786,12220136,12131582,12048279,11970758,11893520,11813186,11736055,11658599,11569870,11477678,11392615,11313292,11228768,11135542,11033746,10926403,10798066,10622328
United Kingdom,GBR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,78.751,79.047,79.339,79.629,79.915,80.199,80.479,80.757,81.031,81.302,81.57,81.837,82.102,82.365,82.626,82.886,83.143,83.398,83.652,83.903,84.152
United Kingdom,GBR,Urban population growth (annual %),SP.URB.GROW,0.512040255,0.798501015,0.834359753,0.933797334,1.045133677,1.089795475,1.127189955,1.131869196,1.095105268,1.117771085,1.110599171,1.02214552,0.993032273,1.05628515,1.108747983,1.072051621,0.988958892,0.912161082,0.868230887,0.665362493,0.214406092
United Kingdom,GBR,Rural population growth (annual %),SP.RUR.TOTL.ZG,-0.084534498,-0.979464267,-0.937751106,-0.844613311,-0.727294808,-0.689030674,-0.645498562,-0.647312856,-0.677734878,-0.655063794,-0.662170794,-0.763971414,-0.800019956,-0.743876716,-0.698702084,-0.749926104,-0.833708172,-0.918358004,-0.977624104,-1.181510977,-1.640884319
United Kingdom,GBR,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,15.72770468,15.69701574,15.66076775,15.60920712,15.54024328,15.46480662,15.53764556,15.61043987,15.68865272,15.76402926,15.84090615,15.90883774,15.98107676,16.04381105,16.09834536,16.159315,16.23399949,16.32155919,16.41306112,16.53072549,16.71091887
Singapore,SGP,Population density (people per sq. km of land area),EN.POP.DNST,6176.137313,6186.592593,5989.557496,6047.407837,6191.236575,6342.024496,6602.300719,6913.422857,7125.104286,7231.811966,7363.193182,7524.6983,7636.721358,7714.702398,7806.77292,7908.720733,7882.377809,7897.305322,7965.878492,7918.951253,7595.495822
Singapore,SGP,Rural population,SP.RUR.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,SGP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Singapore,SGP,Urban population growth (annual %),SP.URB.GROW,2.697355843,0.912639806,-1.474532842,1.251916673,2.350511289,3.129389156,4.166002864,5.321517083,3.015949915,1.771832879,2.084902456,2.45339033,1.619308099,1.298440178,1.186376937,1.297436099,0.08859547,0.469704299,1.144283307,-0.311904961,-4.1703363
Singapore,SGP,Rural population growth (annual %),SP.RUR.TOTL.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Singapore,SGP,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,97.11859221,98.92857913,100,100,100,100,100,100,99.55780096,99.95114968,99.85201656,99.21920956,99.29016762,99.60908448,100,100,100,100,100,100,100
India,IND,Population density (people per sq. km of land area),EN.POP.DNST,362.9000861,369.4056011,375.8303785,382.1701886,388.3501266,394.3151255,400.1398528,405.8720788,411.5580101,417.2668481,422.9871589,428.659862,434.2581749,439.6780929,444.931708,450.2357199,455.468934,460.4493174,465.1946394,469.6595667,473.4187327
India,IND,Rural population,SP.RUR.TOTL,777743809,788105504,798147274,807850031,817080085,825714583,833902577,841745797,849365344,856891827,864287587,871315929,877931069,883907800,889270551,894450030,899185932,903131481,906325664,908684959,909384771
India,IND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,27.918,28.244,28.572,28.903,29.235,29.569,29.906,30.246,30.587,30.93,31.276,31.634,32.003,32.384,32.777,33.182,33.6,34.03,34.472,34.926,35.393
India,IND,Urban population growth (annual %),SP.URB.GROW,2.711573919,2.937708255,2.878886128,2.82462859,2.746251941,2.660297138,2.599633138,2.552873022,2.512308892,2.49274629,2.474032431,2.470338202,2.457264391,2.423844627,2.394052977,2.413097263,2.407475136,2.359169975,2.315801985,2.263634557,2.125468465
India,IND,Rural population growth (annual %),SP.RUR.TOTL.ZG,1.460836745,1.323479362,1.266116509,1.208330179,1.136067722,1.051205933,0.986740874,0.936148347,0.901135162,0.882227128,0.859388098,0.80990622,0.756345049,0.678467711,0.604876249,0.580751673,0.528079622,0.437831347,0.353054653,0.259976035,0.07698407
India,IND,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,5.476402724,5.4659014,5.486149656,5.509707743,5.537209969,5.569884117,5.606151116,5.645545617,5.687015019,5.730165813,5.774725009,5.819845762,5.86608584,5.914669617,5.96543274,6.015485934,6.066300144,6.120499346,6.166103283,6.21094963,6.259070044
China,CHN,Population density (people per sq. km of land area),EN.POP.DNST,135.4730488,136.3837796,137.2359193,138.0534367,138.8677661,139.6453429,140.3765881,141.0977052,141.8012441,142.4877434,143.2685098,144.243669,145.2076439,146.1258167,146.9779493,147.8226414,148.7200435,149.4171945,149.9481797,150.3055428,150.4397537
China,CHN,Rural population,SP.RUR.TOTL,800082679,788406300,775926016,762817902,749352182,735901746,722214159,708173810,693852712,679206337,665644371,653193546,640545579,627502483,614037700,600413466,586968786,572999405,558762145,544289492,529465517
China,CHN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,37.093,38.425,39.776,41.144,42.522,43.868,45.199,46.539,47.88,49.226,50.511,51.765,53.013,54.259,55.5,56.736,57.96,59.152,60.308,61.428,62.512
China,CHN,Urban population growth (annual %),SP.URB.GROW,4.059565758,4.198001148,4.078403526,3.97537213,3.882472976,3.674728093,3.511255552,3.433957689,3.338102468,3.255365494,3.123377177,3.130656596,3.048365006,2.953497442,2.842870548,2.775641769,2.73966382,2.503400504,2.290177234,2.078140058,1.838530282
China,CHN,Rural population growth (annual %),SP.RUR.TOTL.ZG,-1.188186246,-1.470150496,-1.595639068,-1.703783318,-1.781026631,-1.811246341,-1.877489851,-1.963215611,-2.042985048,-2.133474239,-2.01694146,-1.888206999,-1.955320006,-2.057265243,-2.169130106,-2.243779902,-2.264688494,-2.408696463,-2.516079661,-2.624262199,-2.76132205
China,CHN,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,3.143400643,3.121433466,3.103329241,3.088659309,3.07661943,3.071147695,3.070701257,3.072776965,3.077506544,3.08494309,3.0833372,3.074972901,3.068914517,3.06589582,3.066270204,3.068827804,3.072251012,3.083074582,3.099839278,3.121614096,3.148247331
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,13.69555668,13.84337576,13.98702959,14.12976844,14.27655343,14.42503572,14.57092729,14.71623348,14.86625741,14.90430155,15.0771516,15.2495427,15.42116023,15.59164538,15.76063274,15.92813508,16.09419079,16.2585101,16.42082662,16.58089261,16.73874169
Argentina,ARG,Rural population,SP.RUR.TOTL,3999543,3974139,3948010,3921016,3894938,3868731,3841665,3813926,3787305,3732551,3717660,3705497,3693179,3679391,3664923,3649822,3634137,3617403,3599141,3579773,3559798
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,89.329,89.51,89.686,89.86,90.031,90.2,90.366,90.53,90.691,90.849,90.99,91.121,91.249,91.377,91.503,91.627,91.749,91.87,91.991,92.111,92.229
Argentina,ARG,Urban population growth (annual %),SP.URB.GROW,1.308731698,1.275955188,1.228792108,1.209159175,1.223592348,1.222209318,1.190161258,1.173614884,1.191967816,0.429649599,1.308141316,1.280773703,1.25948243,1.239638679,1.215797063,1.192602919,1.170195959,1.147602159,1.125019726,1.100415053,1.075515039
Argentina,ARG,Rural population growth (annual %),SP.RUR.TOTL.ZG,-0.638083047,-0.637198372,-0.659646637,-0.68608506,-0.667304254,-0.675121506,-0.702067992,-0.724676159,-0.700442043,-1.456277026,-0.3997476,-0.32770453,-0.332978803,-0.374035542,-0.393992379,-0.412892629,-0.430673051,-0.46153037,-0.506115919,-0.53958153,-0.55955889
Argentina,ARG,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,37.77668196,37.77041056,37.80853998,37.85482986,37.89431885,37.9350693,37.98803789,38.04807113,38.09980873,38.44426996,38.26047849,37.99614461,37.74106229,37.4954325,37.26028575,37.03550022,36.81972738,36.61348375,36.42338959,36.25555094,36.11373386
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/26/2023,,,,,,,,,,,,,,,,,,,,,,,,